user_id,user_data_json
00bab447-25b8-48d2-934b-2d90b54b0998,"{""user_id"":""00bab447-25b8-48d2-934b-2d90b54b0998"",""profile"":{""age"":23,""gender"":""female"",""latitude"":40.48038142908172,""longitude"":-3.6474609375000004},""preferences"":{""dark_white_chocolate"":1,""curry_cucumber"":3,""vanilla_lemon"":8,""caramel_wasabi"":2,""blue_mozzarella"":2,""sparkling_sweet"":8,""barbecue_ketchup"":8,""tropical_winter"":2,""early_night"":7,""beer_frequency"":""once_a_week"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":8,""Beer 2"":8,""Beer 3"":7,""Beer 4"":8,""Beer 5"":5,""Beer 6"":9,""Beer 7"":2,""Beer 8"":2,""Beer 9"":4}}"
0f1b9d70-1f5b-4f30-a745-0b789210ad27,"{""user_id"":""0f1b9d70-1f5b-4f30-a745-0b789210ad27"",""profile"":{""age"":22,""gender"":""male"",""latitude"":52.54720685874196,""longitude"":13.459548138028651},""preferences"":{""dark_white_chocolate"":5,""curry_cucumber"":5,""vanilla_lemon"":5,""caramel_wasabi"":10,""blue_mozzarella"":5,""sparkling_sweet"":5,""barbecue_ketchup"":5,""tropical_winter"":5,""early_night"":5,""beer_frequency"":""never"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":5}}"
147b17bf-16e3-4241-88f5-4b41c62b2ea0,"{""user_id"":""147b17bf-16e3-4241-88f5-4b41c62b2ea0"",""profile"":{""age"":22,""gender"":""male"",""latitude"":50.23578709847154,""longitude"":8.592681884765627},""preferences"":{""dark_white_chocolate"":3,""curry_cucumber"":7,""vanilla_lemon"":3,""caramel_wasabi"":4,""blue_mozzarella"":3,""sparkling_sweet"":7,""barbecue_ketchup"":6,""tropical_winter"":1,""early_night"":3,""beer_frequency"":""once_a_month"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":7,""Beer 2"":3,""Beer 3"":7,""Beer 4"":3,""Beer 5"":3,""Beer 6"":1,""Beer 7"":5,""Beer 8"":3,""Beer 9"":8}}"
15c21eec-f60a-4072-885a-296ffe05e5e3,"{""user_id"":""15c21eec-f60a-4072-885a-296ffe05e5e3"",""profile"":{""age"":24,""gender"":""female"",""latitude"":47.99727386804474,""longitude"":7.841491699218751},""preferences"":{""dark_white_chocolate"":3,""curry_cucumber"":5,""vanilla_lemon"":10,""caramel_wasabi"":4,""blue_mozzarella"":6,""sparkling_sweet"":6,""barbecue_ketchup"":5,""tropical_winter"":7,""early_night"":2,""beer_frequency"":""once_a_week"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":4,""Beer 2"":8,""Beer 3"":6,""Beer 7"":4,""Beer 8"":1,""Beer 9"":8}}"
1873ecd6-fc1a-4624-805f-bcab1ab459bb,"{""user_id"":""1873ecd6-fc1a-4624-805f-bcab1ab459bb"",""profile"":{""age"":34,""gender"":""male"",""latitude"":46.199096953206194,""longitude"":6.134884642111143},""preferences"":{""dark_white_chocolate"":2,""curry_cucumber"":3,""vanilla_lemon"":1,""caramel_wasabi"":8,""blue_mozzarella"":2,""sparkling_sweet"":1,""barbecue_ketchup"":4,""tropical_winter"":9,""early_night"":7,""beer_frequency"":""once_a_week"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":3,""Beer 2"":5,""Beer 3"":6,""Beer 4"":8,""Beer 5"":6,""Beer 6"":3,""Beer 7"":5,""Beer 8"":7,""Beer 9"":6}}"
18d27737-6153-4474-8426-2f14d5223b0b,"{""user_id"":""18d27737-6153-4474-8426-2f14d5223b0b"",""profile"":{""age"":27,""gender"":""female"",""latitude"":59.62404356635424,""longitude"":17.81970124227352},""preferences"":{""dark_white_chocolate"":8,""curry_cucumber"":3,""vanilla_lemon"":7,""caramel_wasabi"":0,""blue_mozzarella"":5,""sparkling_sweet"":8,""barbecue_ketchup"":7,""tropical_winter"":8,""early_night"":6,""beer_frequency"":""once_a_month"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":4,""Beer 2"":5,""Beer 3"":6,""Beer 4"":4,""Beer 5"":3,""Beer 7"":4,""Beer 8"":2,""Beer 9"":3}}"
1aa073b9-c937-4a58-80f5-40c88a109f00,"{""user_id"":""1aa073b9-c937-4a58-80f5-40c88a109f00"",""profile"":{""age"":37,""gender"":""male"",""latitude"":50.73439088419965,""longitude"":7.099828720092774},""preferences"":{""dark_white_chocolate"":6,""curry_cucumber"":5,""vanilla_lemon"":6,""caramel_wasabi"":8,""blue_mozzarella"":7,""sparkling_sweet"":6,""barbecue_ketchup"":3,""tropical_winter"":2,""early_night"":7,""beer_frequency"":""once_a_week"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":5,""Beer 2"":7,""Beer 3"":8,""Beer 4"":8,""Beer 5"":1,""Beer 6"":3,""Beer 7"":6,""Beer 8"":2,""Beer 9"":8}}"
1deb6b05-7b8b-4a50-a24d-717d05686cf1,"{""user_id"":""1deb6b05-7b8b-4a50-a24d-717d05686cf1"",""profile"":{""age"":25,""gender"":""female"",""latitude"":48.049165085820064,""longitude"":11.704566637916567},""preferences"":{""dark_white_chocolate"":1,""curry_cucumber"":3,""vanilla_lemon"":2,""caramel_wasabi"":3,""blue_mozzarella"":7,""sparkling_sweet"":1,""barbecue_ketchup"":1,""tropical_winter"":8,""early_night"":4,""beer_frequency"":""once_a_month"",""drinks_alcohol"":true},""ratings"":{""Beer 3"":2,""Beer 5"":3,""Beer 6"":2,""Beer 7"":5,""Beer 8"":3,""Beer 9"":6}}"
260bd758-840c-494b-b42b-a9305e31ad42,"{""user_id"":""260bd758-840c-494b-b42b-a9305e31ad42"",""profile"":{""age"":27,""gender"":""female"",""latitude"":48.033674793140484,""longitude"":14.411444664001467},""preferences"":{""dark_white_chocolate"":3,""curry_cucumber"":2,""vanilla_lemon"":2,""caramel_wasabi"":9,""blue_mozzarella"":9,""sparkling_sweet"":1,""barbecue_ketchup"":9,""tropical_winter"":1,""early_night"":4,""beer_frequency"":""once_a_month"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":6,""Beer 2"":7,""Beer 3"":3,""Beer 4"":5,""Beer 5"":2,""Beer 6"":4,""Beer 7"":8,""Beer 8"":1,""Beer 9"":5}}"
2845ad13-a7d3-468f-ad15-ac93ebc6f852,"{""user_id"":""2845ad13-a7d3-468f-ad15-ac93ebc6f852"",""profile"":{""age"":21,""gender"":""male"",""latitude"":50.13306882530336,""longitude"":11.000876426696777},""preferences"":{""dark_white_chocolate"":3,""curry_cucumber"":4,""vanilla_lemon"":3,""caramel_wasabi"":4,""blue_mozzarella"":10,""sparkling_sweet"":4,""barbecue_ketchup"":7,""tropical_winter"":6,""early_night"":8,""beer_frequency"":""once_a_month"",""drinks_alcohol"":true},""ratings"":{""Beer 1"":4,""Beer 2"":6,""Beer 3"":4,""Beer 4"":5,""Beer 5"":4,""Beer 6"":4,""Beer 7"":3,""Beer 8"":2,""Beer 9"":7}}"
